customer_id,data_known,gender,age,tariff,dropped_calls,handset,peak_mins,peak_rate,bill_peak,offpeak_mins,offpeak_rate,bill_offpeak,gadget_A,gadget_B,gadget_C,gadget_D,gadget_A_revenues,gadget_B_revenues,gadget_C_revenues,gadget_D_revenues
N310150,yes,Female,13,CAT 200,0,WC95,718.799999,10,71.8799999,338.400001,5,16.92000005,T,T,T,F,6,20,28,0
N313300,yes,Male,41,CAT 200,2,S50,637.199999,10,63.7199999,348.899999,5,17.44499995,F,F,F,F,0,0,0,0
N271610,yes,Male,51,Play 100,1,S80,36.6,25,9.15,403.499999,5,20.17499995,T,T,F,F,9,23,0,0
N214430,yes,Female,42,Play 100,2,S50,54,25,13.5,194.1,5,9.705,F,F,F,F,0,0,0,0
N354570,yes,Male,35,CAT 200,1,BS110,1482,10,148.2,502.2,5,25.11,T,T,T,F,9,20,32,0
N288540,yes,Male,27,CAT 100,1,BS110,370.199999,15,55.52999985,298.5,5,14.925,F,F,F,F,0,0,0,0
N299310,yes,Female,22,CAT 100,8,CAS30,405,15,60.75,331.2,5,16.56,F,T,T,T,0,21,31,37
N289930,yes,Male,31,CAT 100,0,BS110,384,15,57.6,175.499999,5,8.77499995,F,F,F,T,0,0,0,36
N328980,yes,Female,31,CAT 50,0,WC95,185.4,15,27.81,26.7,5,1.335,F,F,T,T,0,0,26,40
N292520,yes,Male,37,CAT 100,5,BS110,529.199999,15,79.37999985,265.199999,5,13.25999995,T,F,F,F,10,0,0,0
N157480,yes,Male,46,Play 300,2,ASAD170,336.599999,25,84.14999975,301.199999,2,6.02399998,T,F,F,F,10,0,0,0
N239620,yes,Male,52,Play 100,2,BS110,234.6,25,58.65,231,5,11.55,F,F,F,F,0,0,0,0
N277680,yes,Female,30,Play 300,5,S80,119.4,25,29.85,627,2,12.54,T,T,F,F,14,19,0,0
N294430,yes,Female,26,CAT 100,0,CAS30,356.4,15,53.46,342,5,17.1,F,F,F,F,0,0,0,0
N407710,yes,Male,52,CAT 200,13,BS110,1433.399999,10,143.3399999,29.1,5,1.455,F,T,T,F,0,20,27,0
N111860,yes,Female,37,CAT 200,0,S80,852.6,10,85.26,224.100001,5,11.20500005,F,F,F,F,0,0,0,0
N394400,yes,Male,18,Play 300,0,S80,321,25,80.25,450,2,9,F,F,F,F,0,0,0,0
N320600,yes,Female,14,CAT 200,6,WC95,777.6,10,77.76,475.8,5,23.79,F,T,T,F,0,23,28,0
N104380,yes,Female,32,CAT 100,8,S80,622.8,15,93.42,167.1,5,8.355,F,T,T,T,0,23,30,38
N376800,yes,Male,15,Play 100,1,ASAD90,213.600001,25,53.40000025,253.199999,5,12.65999995,F,T,F,F,0,19,0,0
N347070,yes,Female,52,CAT 100,0,BS110,532.2,15,79.83,102,5,5.1,F,F,F,F,0,0,0,0
N146120,yes,Female,45,CAT 200,0,ASAD90,993,10,99.3,452.700001,5,22.63500005,F,T,T,T,0,20,31,39
N369160,yes,Female,24,CAT 200,6,CAS30,818.399999,10,81.8399999,689.7,5,34.485,T,F,F,T,9,0,0,38
N213340,yes,Female,22,Play 100,0,CAS30,43.084947,25,10.77123675,56.728514,5,2.8364257,F,F,F,F,0,0,0,0
N289180,yes,Female,19,CAT 100,2,WC95,352.800001,15,52.92000015,194.1,5,9.705,F,F,F,F,0,0,0,0
N291760,yes,Female,23,CAT 100,0,CAS30,392.4,15,58.86,281.7,5,14.085,F,F,F,F,0,0,0,0
N249490,yes,Male,29,CAT 100,0,BS110,590.4,15,88.56,149.1,5,7.455,F,F,F,F,0,0,0,0
N156940,yes,Female,27,Play 100,1,S50,168.6,25,42.15,414.6,5,20.73,T,T,T,F,11,22,31,0
N330690,yes,Female,35,CAT 50,2,CAS30,228.600001,15,34.29000015,93.9,5,4.695,T,F,F,T,11,0,0,38
N268660,yes,Female,28,Play 100,1,BS210,171.6,25,42.9,519.899999,5,25.99499995,F,F,F,F,0,0,0,0
N159220,yes,Female,29,Play 300,9,S80,472.8,25,118.2,518.700001,2,10.37400002,F,F,F,F,0,0,0,0
N115020,yes,Female,27,CAT 200,4,S50,1267.799999,10,126.7799999,395.7,5,19.785,F,T,T,T,0,15,27,35
N401450,yes,Male,55,CAT 200,13,SOP10,1477.200001,10,147.7200001,18.9,5,0.945,T,T,T,F,15,23,29,0
N142620,yes,Female,39,CAT 200,1,S80,1346.4,10,134.64,426.6,5,21.33,F,F,F,F,0,0,0,0
N282520,yes,Male,26,CAT 100,2,S50,441.6,15,66.24,206.099999,5,10.30499995,F,T,T,T,0,20,27,40
N322170,yes,Female,42,CAT 200,4,WC95,564.6,10,56.46,517.5,5,25.875,F,F,F,F,0,0,0,0
N399110,yes,Female,17,CAT 100,14,BS110,457.800001,15,68.67000015,87,5,4.35,T,T,T,T,9,18,27,36
N172030,yes,Male,13,CAT 200,1,S50,1724.4,10,172.44,390.300001,5,19.51500005,T,T,F,T,13,21,0,40
N145050,yes,Male,32,CAT 200,2,ASAD90,1348.799999,10,134.8799999,30.600001,5,1.53000005,F,F,F,F,0,0,0,0
N116070,yes,Female,49,CAT 200,2,ASAD170,1354.799999,10,135.4799999,210,5,10.5,F,F,F,F,0,0,0,0
N393100,yes,Male,38,Play 300,2,ASAD90,376.8,25,94.2,363.3,2,7.266,F,F,F,F,0,0,0,0
N204100,yes,Female,24,CAT 200,2,ASAD170,2558.4,10,255.84,141,5,7.05,T,F,T,T,14,0,34,42
N413480,yes,Female,38,Play 100,12,SOP20,160.8,25,40.2,481.5,5,24.075,T,T,T,T,10,15,27,37
N347220,yes,Male,41,CAT 100,1,BS110,475.799999,15,71.36999985,340.200001,5,17.01000005,F,F,T,F,0,0,29,0
N382870,yes,Female,31,Play 100,2,WC95,290.400001,25,72.60000025,356.700001,5,17.83500005,F,F,F,F,0,0,0,0
N314550,yes,Male,52,CAT 200,4,CAS30,1258.199999,10,125.8199999,280.800001,5,14.04000005,F,F,F,F,0,0,0,0
N151900,yes,Male,42,CAT 200,0,ASAD90,1144.799999,10,114.4799999,525.6,5,26.28,T,F,T,T,7,0,29,42
N226260,yes,Male,37,Play 100,2,BS110,211.799999,25,52.94999975,196.200001,5,9.81000005,F,F,F,F,0,0,0,0
N362100,yes,Male,15,CAT 200,4,BS110,709.799999,10,70.9799999,213.9,5,10.695,F,T,F,F,0,24,0,0
N380560,yes,Male,13,Play 100,2,S80,211.8,25,52.95,438.9,5,21.945,F,F,F,F,0,0,0,0
N172580,yes,Male,13,CAT 200,2,ASAD170,939,10,93.9,275.100001,5,13.75500005,T,T,T,T,11,18,29,42
N284000,yes,Male,13,CAT 100,2,S50,373.199999,15,55.97999985,207.300001,5,10.36500005,F,F,F,F,0,0,0,0
N381130,yes,Female,19,Play 100,2,ASAD90,261,25,65.25,272.400001,5,13.62000005,F,F,F,F,0,0,0,0
N237670,yes,Male,53,CAT 200,0,S50,757.800001,10,75.7800001,222.300001,5,11.11500005,T,F,F,T,8,0,0,39
N141880,yes,Male,26,CAT 200,4,ASAD170,834.6,10,83.46,459,5,22.95,T,F,T,T,10,0,31,37
N240050,yes,Male,34,Play 100,8,BS110,112.2,25,28.05,387,5,19.35,F,F,F,F,0,0,0,0
N378260,yes,Male,30,Play 100,0,S80,257.4,25,64.35,402.6,5,20.13,F,F,F,F,0,0,0,0
N140110,yes,Male,26,CAT 200,0,ASAD170,1918.2,10,191.82,476.399999,5,23.81999995,T,F,T,T,8,0,32,41
N144460,yes,Male,40,CAT 200,2,S80,1118.400001,10,111.8400001,826.8,5,41.34,T,T,F,T,5,20,0,37
N128660,yes,Female,35,CAT 200,1,S50,1750.2,10,175.02,84.299999,5,4.21499995,T,T,T,T,10,18,31,38
N129610,yes,Female,34,CAT 200,0,S50,1310.4,10,131.04,499.499999,5,24.97499995,T,T,T,T,4,18,28,38
N165060,yes,Female,35,Play 300,1,S80,634.8,25,158.7,729.3,2,14.586,T,T,T,T,7,21,30,37
N349830,yes,Female,29,CAT 100,2,WC95,606,15,90.9,49.800001,5,2.49000005,F,F,F,F,0,0,0,0
N316650,yes,Female,36,CAT 200,1,WC95,970.8,10,97.08,178.5,5,8.925,F,T,T,F,0,18,32,0
N256280,yes,Male,18,CAT 100,0,BS210,678,15,101.7,302.1,5,15.105,F,F,F,F,0,0,0,0
N120390,yes,Female,26,CAT 200,2,ASAD90,1351.2,10,135.12,118.8,5,5.94,T,T,F,T,5,23,0,43
N343820,yes,Female,13,CAT 100,2,BS110,427.8,15,64.17,306,5,15.3,F,F,F,F,0,0,0,0
N126470,yes,Male,48,CAT 200,6,S50,1204.8,10,120.48,85.2,5,4.26,T,T,F,T,10,15,0,43
N296970,yes,Male,29,CAT 100,2,S50,520.2,15,78.03,413.4,5,20.67,T,T,T,T,12,22,26,41
N260230,yes,Female,47,Play 100,0,BS210,271.2,25,67.8,437.1,5,21.855,T,T,T,F,10,18,25,0
N347500,yes,Male,20,CAT 100,0,S50,472.800001,15,70.92000015,189.599999,5,9.47999995,T,T,T,T,11,21,28,42
N264980,yes,Male,49,Play 100,2,BS210,141,25,35.25,548.400001,5,27.42000005,T,T,T,F,11,16,30,0
N222560,yes,Female,20,Play 100,1,BS110,126.600001,25,31.65000025,119.7,5,5.985,F,F,F,F,0,0,0,0
N353480,yes,Male,21,CAT 200,0,S50,1049.4,10,104.94,56.7,5,2.835,T,F,T,T,7,0,29,38
N366190,yes,Male,28,CAT 200,0,S50,757.199999,10,75.7199999,498,5,24.9,F,F,F,F,0,0,0,0
N171980,yes,Female,13,CAT 200,0,S50,943.799999,10,94.3799999,165.9,5,8.295,F,F,F,F,0,0,0,0
N290220,yes,Male,45,CAT 100,7,S50,413.4,15,62.01,133.499999,5,6.67499995,F,F,F,F,0,0,0,0
N391030,yes,Female,17,Play 300,0,WC95,246,25,61.5,541.2,2,10.824,T,T,T,F,7,18,32,0
N185830,yes,Female,23,CAT 200,2,S50,930,10,93,492.9,5,24.645,T,F,T,T,6,0,27,40
N199880,yes,Male,25,CAT 200,2,S50,708,10,70.8,301.8,5,15.09,T,T,T,T,8,17,29,41
N402410,yes,Male,26,CAT 200,13,SOP10,659.400001,10,65.9400001,401.400001,5,20.07000005,F,T,T,T,0,20,23,41
N278290,yes,Female,55,Play 300,2,BS210,136.2,25,34.05,608.699999,2,12.17399998,F,T,T,T,0,20,30,40
N325750,yes,Female,13,CAT 200,0,BS110,865.8,10,86.58,188.099999,5,9.40499995,T,T,T,T,13,17,30,37
N228090,yes,Female,21,Play 100,1,S50,139.8,25,34.95,160.2,5,8.01,F,F,F,F,0,0,0,0
N158420,yes,Male,39,Play 300,1,S50,364.800001,25,91.20000025,787.800001,2,15.75600002,T,T,T,T,12,20,28,38
N145590,yes,Female,28,CAT 200,8,ASAD90,1027.199999,10,102.7199999,242.400001,5,12.12000005,F,F,F,F,0,0,0,0
N131340,yes,Male,35,CAT 200,1,ASAD90,1348.199999,10,134.8199999,689.399999,5,34.46999995,F,F,F,F,0,0,0,0
N110620,yes,Female,38,CAT 100,1,ASAD170,603,15,90.45,240,5,12,F,F,F,F,0,0,0,0
N111700,yes,Female,30,CAT 200,1,ASAD90,1452.6,10,145.26,334.500001,5,16.72500005,F,F,F,F,0,0,0,0
N360910,yes,Female,32,CAT 200,2,WC95,1239.6,10,123.96,248.1,5,12.405,F,F,F,T,0,0,0,35
N370790,yes,Male,25,CAT 200,11,CAS30,700.8,10,70.08,490.8,5,24.54,F,F,F,F,0,0,0,0
N286200,yes,Female,17,CAT 100,1,BS110,643.8,15,96.57,58.2,5,2.91,F,F,F,F,0,0,0,0
N234170,yes,Male,28,CAT 100,7,BS110,749.399999,15,112.4099999,41.399999,5,2.06999995,T,F,T,T,5,0,30,39
N359270,yes,Male,53,CAT 200,0,S50,1274.4,10,127.44,202.8,5,10.14,F,F,F,F,0,0,0,0
N132920,yes,Male,51,CAT 200,0,S80,729.6,10,72.96,581.4,5,29.07,F,F,F,F,0,0,0,0
N207720,yes,Male,13,Play 300,10,S50,321,25,80.25,813.300001,2,16.26600002,F,F,F,F,0,0,0,0
N366820,yes,Male,63,CAT 200,0,CAS30,1177.200001,10,117.7200001,407.100001,5,20.35500005,T,T,T,T,8,20,28,35
N359930,yes,Male,19,CAT 200,1,S50,1282.8,10,128.28,69.6,5,3.48,F,F,T,F,0,0,28,0
N199590,yes,Female,24,CAT 200,1,ASAD90,1056,10,105.6,387.6,5,19.38,F,F,F,F,0,0,0,0
N238890,yes,Female,18,CAT 50,1,S50,223.2,15,33.48,176.7,5,8.835,T,F,F,F,8,0,0,0
N165690,yes,Male,21,CAT 100,1,ASAD90,507.6,15,76.14,390,5,19.5,T,T,T,F,14,19,31,0
N291100,yes,Male,43,CAT 100,2,BS110,323.399999,15,48.50999985,265.199999,5,13.25999995,F,F,F,F,0,0,0,0
N220860,yes,Male,23,Play 100,0,S50,106.2,25,26.55,265.2,5,13.26,F,F,F,F,0,0,0,0
N218520,yes,Female,27,Play 100,0,BS110,168,25,42,149.099998,5,7.4549999,T,T,T,T,12,21,25,41
N217650,yes,Female,34,Play 100,1,S50,40.2,25,10.05,321.6,5,16.08,F,F,T,F,0,0,31,0
N129950,yes,Female,31,CAT 200,0,S50,1321.2,10,132.12,207.6,5,10.38,F,F,F,F,0,0,0,0
N278480,yes,Female,19,Play 300,0,S80,74.4,25,18.6,681.3,2,13.626,F,F,F,F,0,0,0,0
N406890,yes,Female,33,CAT 200,12,BS110,911.4,10,91.14,543.9,5,27.195,T,F,T,F,11,0,32,0
N118650,yes,Male,28,CAT 200,2,S50,543.6,10,54.36,508.199999,5,25.40999995,T,F,T,T,9,0,34,37
N181020,yes,Male,16,CAT 200,0,ASAD90,1415.4,10,141.54,311.699999,5,15.58499995,T,T,T,F,8,20,27,0
N306910,yes,Male,33,CAT 200,1,S50,596.400001,10,59.6400001,576,5,28.8,T,T,T,T,12,17,27,41
N318470,yes,Male,21,CAT 200,1,CAS30,1018.2,10,101.82,364.8,5,18.24,T,T,F,T,8,21,0,42
N364000,yes,Female,42,CAT 200,1,BS110,723,10,72.3,0,5,0,F,F,F,F,0,0,0,0
N329980,yes,Male,18,CAT 50,7,BS110,365.4,15,54.81,100.5,5,5.025,T,T,T,F,6,15,31,0
N356160,yes,Male,17,CAT 200,2,CAS30,694.200001,10,69.4200001,204,5,10.2,F,T,F,F,0,19,0,0
N122580,yes,Female,29,CAT 200,2,S80,985.2,10,98.52,254.1,5,12.705,F,F,F,F,0,0,0,0
N259430,yes,Female,18,CAT 50,0,BS210,352.8,15,52.92,27.3,5,1.365,T,F,F,F,9,0,0,0
N227800,yes,Male,46,Play 100,10,S50,131.4,25,32.85,289.800001,5,14.49000005,F,F,F,F,0,0,0,0
N356060,yes,Female,19,CAT 200,0,WC95,1140.599999,10,114.0599999,224.7,5,11.235,F,T,F,F,0,16,0,0
N238390,yes,Female,52,CAT 50,1,S50,304.200001,15,45.63000015,177.900001,5,8.89500005,F,F,F,F,0,0,0,0
N119830,yes,Male,32,CAT 200,1,S50,1244.399999,10,124.4399999,518.399999,5,25.91999995,T,T,F,T,7,20,0,39
N150850,yes,Male,51,CAT 200,2,S50,829.199999,10,82.9199999,113.7,5,5.685,T,T,T,T,11,20,31,38
N215170,yes,Female,44,Play 100,0,BS110,76.2,25,19.05,84.3,5,4.215,F,F,F,F,0,0,0,0
N146810,yes,Male,33,CAT 200,1,S50,1731,10,173.1,600,5,30,F,T,T,T,0,24,29,38
N352820,yes,Male,75,CAT 200,6,BS110,1538.4,10,153.84,512.4,5,25.62,T,F,F,T,10,0,0,41
N232950,yes,Male,22,CAT 100,3,BS110,684,15,102.6,141,5,7.05,F,F,F,F,0,0,0,0
N240900,yes,Male,15,Play 100,8,S50,222,25,55.5,253.2,5,12.66,F,F,F,F,0,0,0,0
N255150,yes,Male,34,CAT 100,1,BS210,757.200001,15,113.5800002,220.499999,5,11.02499995,F,F,F,F,0,0,0,0
N225580,yes,Female,33,Play 100,2,S50,25.199999,25,6.29999975,400.800001,5,20.04000005,F,F,F,F,0,0,0,0
N148640,yes,Female,33,CAT 200,1,ASAD170,1129.199999,10,112.9199999,75.600001,5,3.78000005,T,T,T,T,10,20,31,40
N335120,yes,Female,25,CAT 50,1,WC95,192.6,15,28.89,144.300001,5,7.21500005,T,T,T,T,13,18,27,39
N323360,yes,Female,17,CAT 200,1,WC95,594.6,10,59.46,408.899999,5,20.44499995,F,F,F,F,0,0,0,0
N249970,yes,Male,32,CAT 100,9,BS110,625.800001,15,93.87000015,146.4,5,7.32,F,F,F,F,0,0,0,0
N197960,yes,Female,24,CAT 200,2,ASAD170,1617,10,161.7,179.1,5,8.955,F,F,F,F,0,0,0,0
N106710,yes,Female,28,CAT 100,1,ASAD90,674.399999,15,101.1599999,90.899999,5,4.54499995,T,T,T,T,9,18,31,35
N246030,yes,Female,17,CAT 100,1,BS110,525,15,78.75,102.6,5,5.13,F,F,F,F,0,0,0,0
N131980,yes,Female,32,CAT 200,2,S50,937.8,10,93.78,467.700001,5,23.38500005,T,F,T,T,11,0,28,37
N358850,yes,Female,34,CAT 200,0,WC95,1294.8,10,129.48,477,5,23.85,T,T,T,T,7,23,28,42
N225980,yes,Female,17,Play 100,0,S50,114,25,28.5,155.7,5,7.785,T,T,T,T,11,18,28,40
N342760,yes,Female,38,CAT 100,1,WC95,345,15,51.75,125.700001,5,6.28500005,F,F,F,F,0,0,0,0
N353940,yes,Female,38,CAT 200,4,WC95,906,10,90.6,348.600001,5,17.43000005,T,T,T,T,12,17,33,35
N103910,yes,Female,28,CAT 100,1,ASAD170,531.6,15,79.74,459.3,5,22.965,T,T,T,T,12,16,31,42
N345630,yes,Female,19,CAT 100,0,CAS30,479.399999,15,71.90999985,287.100001,5,14.35500005,T,F,T,T,12,0,26,36
N411140,yes,Male,36,CAT 50,15,BS110,222,15,33.3,150,5,7.5,F,T,T,F,0,20,29,0
N297850,yes,Male,51,CAT 100,2,S50,418.8,15,62.82,84.6,5,4.23,F,F,F,F,0,0,0,0
N112050,yes,Male,55,CAT 200,1,S50,2084.4,10,208.44,658.199999,5,32.90999995,T,T,T,T,10,21,28,39
N141710,yes,Male,49,CAT 200,1,ASAD90,978,10,97.8,360,5,18,F,F,F,F,0,0,0,0
N317170,yes,Female,29,CAT 200,2,WC95,834.6,10,83.46,150.3,5,7.515,F,T,F,F,0,22,0,0
N338910,yes,Female,13,CAT 100,2,WC95,659.400001,15,98.91000015,93.900001,5,4.69500005,T,F,T,T,13,0,30,43
N142010,yes,Male,28,CAT 200,0,S50,1525.8,10,152.58,340.5,5,17.025,T,T,F,F,11,22,0,0
N145430,yes,Female,39,CAT 200,2,ASAD90,1331.4,10,133.14,495.9,5,24.795,F,F,F,F,0,0,0,0
N311660,yes,Male,21,CAT 200,8,BS110,728.400001,10,72.8400001,585.900001,5,29.29500005,F,F,F,F,0,0,0,0
N342540,yes,Female,19,CAT 100,2,BS110,733.800001,15,110.0700002,41.4,5,2.07,T,T,T,F,11,20,28,0
N272420,yes,Male,27,Play 100,9,BS210,309,25,77.25,379.8,5,18.99,F,F,F,F,0,0,0,0
N310180,yes,Male,20,CAT 200,0,CAS30,865.8,10,86.58,605.4,5,30.27,F,F,T,F,0,0,30,0
N355370,yes,Male,12,CAT 200,0,S50,823.8,10,82.38,126.9,5,6.345,F,F,F,F,0,0,0,0
N242520,yes,Female,31,Play 300,0,S50,247.2,25,61.8,498.3,2,9.966,F,F,F,F,0,0,0,0
N161970,yes,Female,40,Play 300,8,ASAD90,556.8,25,139.2,552.9,2,11.058,F,T,F,T,0,20,0,38
N328850,yes,Male,17,CAT 50,1,S50,289.199999,15,43.37999985,173.1,5,8.655,F,F,F,F,0,0,0,0
N266990,yes,Female,13,Play 100,1,S80,303,25,75.75,289.8,5,14.49,F,F,F,F,0,0,0,0
N144850,yes,Female,58,CAT 200,7,S80,1443.600001,10,144.3600001,111,5,5.55,T,T,T,T,10,25,29,42
N146550,yes,Male,32,CAT 200,7,ASAD90,1320,10,132,284.7,5,14.235,F,F,F,F,0,0,0,0
N328040,yes,Female,28,CAT 50,2,WC95,135,15,20.25,85.799999,5,4.28999995,F,T,F,F,0,18,0,0
N160460,yes,Female,28,Play 300,2,ASAD90,415.2,25,103.8,1086.9,2,21.738,F,F,F,F,0,0,0,0
N184580,yes,Female,20,CAT 200,2,ASAD90,1186.799999,10,118.6799999,689.099999,5,34.45499995,T,T,T,T,10,19,25,40
N259270,yes,Female,28,CAT 50,2,S80,373.199999,15,55.97999985,78,5,3.9,F,F,F,F,0,0,0,0
N220500,yes,Male,41,Play 100,1,S50,64.8,25,16.2,260.7,5,13.035,F,F,F,F,0,0,0,0
N174080,yes,Male,21,CAT 200,0,S50,1076.4,10,107.64,700.199999,5,35.00999995,T,T,F,T,10,26,0,39
N363280,yes,Female,16,CAT 200,2,BS110,1230.599999,10,123.0599999,145.2,5,7.26,F,F,F,F,0,0,0,0
N385090,yes,Female,17,Play 100,11,WC95,163.2,25,40.8,355.2,5,17.76,F,F,F,F,0,0,0,0
N230240,yes,Female,12,Play 100,0,S50,139.8,25,34.95,226.2,5,11.31,F,F,F,F,0,0,0,0
N136450,yes,Female,41,CAT 200,2,S50,1534.2,10,153.42,168.6,5,8.43,F,F,F,F,0,0,0,0
N103790,yes,Male,42,CAT 100,1,ASAD170,476.399999,15,71.45999985,369.3,5,18.465,F,F,F,F,0,0,0,0
N329240,yes,Male,24,CAT 50,0,CAS30,153.6,15,23.04,23.7,5,1.185,F,F,F,F,0,0,0,0
N222620,yes,Male,25,Play 100,0,S50,46.2,25,11.55,243.899999,5,12.19499995,T,F,F,T,11,0,0,36
N258410,yes,Male,18,CAT 100,0,BS210,735,15,110.25,184.199999,5,9.20999995,T,T,T,T,9,18,26,41
N361110,yes,Male,21,CAT 200,2,S50,706.8,10,70.68,307.8,5,15.39,F,F,T,T,0,0,33,38
N238500,yes,Female,18,CAT 50,1,BS110,245.399999,15,36.80999985,177.600001,5,8.88000005,F,F,F,F,0,0,0,0
N372230,yes,Male,12,CAT 200,10,CAS30,589.8,10,58.98,400.499999,5,20.02499995,F,F,F,F,0,0,0,0
N145150,yes,Female,48,CAT 200,1,ASAD90,948.600001,10,94.8600001,113.7,5,5.685,F,F,F,F,0,0,0,0
N215530,yes,Male,32,Play 100,2,BS110,87.600001,25,21.90000025,90.600001,5,4.53000005,T,F,T,T,10,0,29,42
N277360,yes,Male,18,Play 300,0,S80,238.8,25,59.7,619.5,2,12.39,T,F,F,F,12,0,0,0
N102620,yes,Female,26,CAT 100,0,S50,465,15,69.75,403.499999,5,20.17499995,F,F,F,T,0,0,0,38
N352100,yes,Male,54,CAT 100,0,S50,415.200001,15,62.28000015,27.3,5,1.365,T,F,T,F,12,0,31,0
N360250,yes,Female,17,CAT 200,1,WC95,955.200001,10,95.5200001,87.900001,5,4.39500005,F,F,F,F,0,0,0,0
N121830,yes,Male,51,CAT 200,7,S50,2412,10,241.2,280.2,5,14.01,T,T,T,T,9,26,27,40
N302520,yes,Female,27,CAT 100,0,WC95,484.2,15,72.63,173.400001,5,8.67000005,F,F,F,F,0,0,0,0
N369510,yes,Female,20,CAT 200,2,WC95,949.8,10,94.98,343.8,5,17.19,T,T,T,T,7,19,30,42
N179570,yes,Male,20,CAT 200,1,S50,720.600001,10,72.0600001,438.900001,5,21.94500005,T,T,T,T,6,21,30,46
N106520,yes,Female,30,CAT 100,2,ASAD90,451.200001,15,67.68000015,315,5,15.75,T,T,T,F,5,22,25,0
N129810,yes,Female,42,CAT 200,0,ASAD90,1035,10,103.5,48,5,2.4,T,T,T,F,7,21,31,0
N153030,yes,Female,27,CAT 200,6,S50,1539.599999,10,153.9599999,52.5,5,2.625,T,T,T,T,12,22,31,42
N174310,yes,Female,14,CAT 200,1,ASAD90,1182,10,118.2,71.1,5,3.555,F,T,T,T,0,16,26,41
N270620,yes,Female,26,Play 100,1,S80,88.799999,25,22.19999975,380.1,5,19.005,F,F,F,F,0,0,0,0
N257270,yes,Female,41,CAT 100,10,S80,873,15,130.95,96.3,5,4.815,T,T,T,T,6,18,26,41
N164560,yes,Male,31,Play 300,6,ASAD90,418.8,25,104.7,359.099999,2,7.18199998,F,F,T,F,0,0,30,0
N167070,yes,Male,24,CAT 100,2,ASAD90,736.2,15,110.43,97.2,5,4.86,F,F,F,F,0,0,0,0
N302740,yes,Male,29,CAT 100,11,S50,285,15,42.75,249.3,5,12.465,F,F,F,F,0,0,0,0
N229570,yes,Male,38,Play 100,2,BS110,51,25,12.75,126.900001,5,6.34500005,F,F,F,F,0,0,0,0
N272550,yes,Female,41,Play 100,0,BS210,59.4,25,14.85,290.7,5,14.535,F,F,F,F,0,0,0,0
N313340,yes,Female,41,CAT 200,2,WC95,883.2,10,88.32,346.8,5,17.34,F,F,F,F,0,0,0,0
N190900,yes,Female,20,CAT 200,9,ASAD90,707.4,10,70.74,268.200001,5,13.41000005,F,F,F,F,0,0,0,0
N292010,yes,Female,17,CAT 100,2,WC95,415.8,15,62.37,178.8,5,8.94,F,F,F,F,0,0,0,0
N360160,yes,Male,14,CAT 200,2,CAS30,1009.2,10,100.92,55.8,5,2.79,F,T,F,F,0,22,0,0
N283100,yes,Male,22,CAT 100,6,BS110,678.600001,15,101.7900002,29.1,5,1.455,F,F,F,F,0,0,0,0
N313770,yes,Male,32,CAT 200,2,S50,765.6,10,76.56,230.1,5,11.505,F,F,F,F,0,0,0,0
