customer_id,data_known,gender,age,tariff,dropped_calls,handset,peak_mins,peak_rate,bill_peak,offpeak_mins,offpeak_rate,bill_offpeak,gadget_A,gadget_B,gadget_C,gadget_D,gadget_A_revenues,gadget_B_revenues,gadget_C_revenues,gadget_D_revenues,churn,retention
K100230,yes,Male,33,CAT 50,2,SOP10,71,15,11,38,5,2,F,F,F,F,0,0,0,0,Churned,F
K100240,yes,Male,39,CAT 50,0,SOP10,139,15,21,0,5,0,F,F,F,F,0,0,0,0,Churned,F
K100250,yes,Male,28,CAT 50,0,SOP20,71,15,11,28,5,1,F,F,F,F,0,0,0,0,Churned,F
K100260,yes,Male,42,CAT 50,1,SOP10,33,15,5,22,5,1,F,F,F,F,0,0,0,0,Churned,F
K100270,yes,Male,44,CAT 50,2,SOP20,42,15,6,14,5,1,T,T,F,F,15,19,0,0,Active,T
K100280,yes,Male,46,CAT 50,0,SOP10,80,15,12,25,5,1,F,F,F,F,0,0,0,0,Churned,F
K100290,yes,Male,27,CAT 50,0,SOP20,90,15,14,46,5,2,F,T,F,F,0,21,0,0,Churned,F
K100300,yes,Male,30,CAT 50,8,SOP20,88,15,13,30,5,2,F,F,F,F,0,0,0,0,Churned,F
K100310,yes,Male,34,CAT 50,11,SOP20,36,15,5,18,5,1,T,F,T,T,9,0,34,42,Churned,F
K100320,yes,Male,34,CAT 50,1,SOP10,40,15,6,9,5,0,T,T,F,T,7,17,0,41,Churned,F
K100330,yes,Male,26,CAT 50,1,SOP10,74,15,11,25,5,1,F,F,T,F,0,0,31,0,Churned,F
K100340,yes,Male,50,CAT 50,0,SOP20,88,15,13,30,5,2,F,F,F,F,0,0,0,0,Churned,F
K100350,yes,Male,37,CAT 50,2,SOP10,62,15,9,13,5,1,F,F,F,F,0,0,0,0,Churned,F
K100360,yes,Male,30,CAT 50,6,SOP10,51,15,8,17,5,1,F,T,T,T,0,19,29,39,Churned,F
K100370,yes,Male,45,CAT 50,0,SOP20,91,15,14,49,5,2,F,T,F,F,0,17,0,0,Churned,F
K100380,yes,Male,39,CAT 50,2,SOP20,66,15,10,36,5,2,F,T,F,T,0,20,0,40,Churned,F
K100390,yes,Male,35,CAT 50,1,SOP10,56,15,8,18,5,1,F,T,T,F,0,18,31,0,Churned,F
K100400,yes,Male,50,CAT 50,0,SOP20,86,15,13,48,5,2,F,F,F,F,0,0,0,0,Churned,F
K100410,yes,Male,45,CAT 50,7,SOP20,86,15,13,48,5,2,F,F,F,F,0,0,0,0,Churned,F
K100420,yes,Male,31,CAT 50,1,SOP10,43,15,6,0,5,0,F,F,F,F,0,0,0,0,Churned,F
K100430,yes,Male,35,CAT 50,0,SOP10,67,15,10,41,5,2,F,F,F,F,0,0,0,0,Churned,F
K100440,yes,Male,27,CAT 50,2,SOP20,67,15,10,41,5,2,F,F,F,F,0,0,0,0,Churned,F
K100450,yes,Male,32,CAT 50,0,SOP20,59,15,9,9,5,0,F,F,F,F,0,0,0,0,Churned,F
K100460,yes,Male,39,CAT 50,1,SOP10,42,15,6,19,5,1,T,F,T,T,11,0,30,37,Churned,F
K100470,yes,Male,29,CAT 50,1,SOP10,60,15,9,41,5,2,F,F,F,F,0,0,0,0,Churned,F
K100480,yes,Male,35,CAT 50,11,SOP10,62,15,9,24,5,1,F,F,F,F,0,0,0,0,Churned,F
K100490,yes,Male,35,CAT 50,9,SOP20,58,15,9,23,5,1,F,F,F,F,0,0,0,0,Churned,F
K100500,yes,Male,50,CAT 50,2,SOP20,73,15,11,16,5,1,F,F,F,F,0,0,0,0,Active,T
K100510,yes,Male,33,CAT 50,0,SOP20,66,15,10,15,5,1,F,F,F,F,0,0,0,0,Churned,F
K100520,yes,Male,28,CAT 50,1,SOP10,75,15,11,31,5,2,F,F,F,F,0,0,0,0,Churned,F
K100530,yes,Male,37,CAT 50,2,SOP20,33,15,5,24,5,1,F,F,F,F,0,0,0,0,Churned,F
K100540,yes,Male,39,CAT 50,0,SOP10,107,15,16,27,5,1,T,F,F,T,6,0,0,43,Churned,F
K100550,yes,Male,27,CAT 50,1,SOP10,75,15,11,31,5,2,F,F,T,F,0,0,26,0,Churned,F
K100560,yes,Male,40,CAT 50,1,SOP20,75,15,11,31,5,2,F,F,F,F,0,0,0,0,Churned,F
K100570,yes,Male,41,CAT 50,1,SOP10,58,15,9,22,5,1,F,F,F,F,0,0,0,0,Churned,F
K100580,yes,Male,27,CAT 50,1,SOP20,70,15,11,34,5,2,F,F,F,F,0,0,0,0,Churned,F
K100590,yes,Male,35,CAT 50,8,SOP20,62,15,9,24,5,1,T,T,T,F,6,20,31,0,Churned,F
K100600,yes,Male,35,CAT 50,0,SOP10,47,15,7,3,5,0,F,F,F,F,0,0,0,0,Churned,F
K100610,yes,Male,34,CAT 50,2,SOP20,36,15,5,18,5,1,F,F,F,F,0,0,0,0,Churned,F
K100620,yes,Male,30,CAT 50,1,SOP20,66,15,10,36,5,2,F,F,F,F,0,0,0,0,Churned,F
K100630,yes,Male,45,CAT 50,4,SOP10,85,15,13,24,5,1,T,F,F,F,9,0,0,0,Churned,F
K100640,yes,Male,37,CAT 50,0,SOP20,45,15,7,12,5,1,F,F,F,F,0,0,0,0,Churned,F
K100650,yes,Male,48,CAT 50,3,SOP10,78,15,12,36,5,2,F,T,F,F,0,19,0,0,Churned,F
K100660,yes,Male,42,CAT 50,1,SOP20,145,15,22,15,5,1,F,F,F,F,0,0,0,0,Churned,F
K100670,yes,Male,38,CAT 50,2,SOP20,36,15,5,21,5,1,F,F,F,F,0,0,0,0,Churned,F
K100680,yes,Male,28,CAT 50,7,SOP20,49,15,7,3,5,0,F,F,F,F,0,0,0,0,Churned,F
K100690,yes,Male,30,CAT 50,2,SOP10,76,15,11,42,5,2,T,F,T,T,12,0,30,42,Churned,F
K100700,yes,Male,29,CAT 50,2,SOP10,103,15,15,53,5,3,F,F,F,F,0,0,0,0,Churned,F
K100710,yes,Male,37,CAT 50,0,SOP20,70,15,10,24,5,1,F,F,F,F,0,0,0,0,Churned,F
K100720,yes,Male,40,CAT 50,1,SOP20,145,15,22,15,5,1,F,T,T,T,0,21,31,41,Churned,F
K100730,yes,Male,40,CAT 50,0,SOP20,78,15,12,36,5,2,F,F,F,F,0,0,0,0,Churned,F
K100740,yes,Male,37,CAT 50,1,SOP10,116,15,17,19,5,1,F,F,F,F,0,0,0,0,Active,T
K100750,yes,Male,28,CAT 50,1,SOP10,112,15,17,33,5,2,F,F,F,F,0,0,0,0,Churned,F
K100760,yes,Male,37,CAT 50,1,SOP20,69,15,10,54,5,3,F,F,F,F,0,0,0,0,Churned,F
K100770,yes,Male,33,Play 100,2,SOP10,38,25,9,67,5,3,F,F,F,F,0,0,0,0,Churned,F
K100780,yes,Male,36,Play 100,2,SOP10,37,25,9,0,5,0,T,T,F,T,10,21,0,40,Churned,F
K100790,yes,Male,29,Play 100,1,SOP10,24,25,6,37,5,2,F,F,F,F,0,0,0,0,Churned,F
K100800,yes,Male,39,Play 100,1,SOP20,37,25,9,11,5,1,F,T,F,F,0,16,0,0,Churned,F
K100810,yes,Male,42,Play 100,0,SOP20,30,25,8,58,5,3,F,F,F,F,0,0,0,0,Churned,F
K100820,yes,Male,37,Play 100,0,SOP20,39,25,10,27,5,1,F,F,F,T,0,0,0,40,Churned,F
K100830,yes,Male,33,Play 100,8,SOP10,23,25,6,51,5,3,T,T,T,F,8,21,31,0,Churned,F
K100840,yes,Male,33,Play 100,1,SOP20,18,25,5,27,5,1,F,F,T,F,0,0,28,0,Churned,F
K100850,yes,Male,31,Play 100,2,SOP20,0,25,0,0,5,0,F,F,F,F,0,0,0,0,Churned,F
K100860,yes,Male,25,Play 100,0,SOP10,61,25,15,42,5,2,T,T,F,T,10,21,0,42,Churned,F
K100870,yes,Male,38,Play 100,7,SOP20,22,25,5,13,5,1,F,F,F,F,0,0,0,0,Churned,F
K100880,yes,Male,33,Play 100,0,SOP20,65,25,16,81,5,4,F,F,F,F,0,0,0,0,Churned,F
K100890,yes,Male,42,Play 100,7,SOP10,67,25,17,62,5,3,F,F,F,F,0,0,0,0,Churned,F
K100900,yes,Male,27,Play 100,2,SOP10,24,25,6,67,5,3,T,F,T,T,11,0,29,41,Churned,F
K100910,yes,Male,28,Play 100,1,SOP20,58,25,15,26,5,1,F,F,F,F,0,0,0,0,Churned,F
K100920,yes,Male,33,Play 100,2,SOP10,16,25,4,29,5,1,F,T,T,F,0,15,33,0,Churned,F
K100930,yes,Male,25,Play 100,1,SOP10,54,25,13,27,5,1,T,T,F,T,7,17,0,43,Churned,F
K100940,yes,Male,42,Play 100,5,SOP10,0,25,0,0,5,0,T,T,F,T,9,20,0,44,Churned,F
K100950,yes,Male,38,Play 100,1,SOP10,0,25,0,0,5,0,F,F,F,F,0,0,0,0,Churned,F
K100960,yes,Male,25,Play 100,0,SOP20,38,25,10,0,5,0,F,F,F,F,0,0,0,0,Churned,F
K100970,yes,Male,37,Play 100,1,SOP10,36,25,9,23,5,1,F,F,F,F,0,0,0,0,Churned,F
K100980,yes,Male,30,Play 100,2,SOP20,0,25,0,125,5,6,F,T,F,F,0,18,0,0,Churned,F
K100990,yes,Male,28,Play 100,1,SOP20,27,25,7,58,5,3,F,F,F,F,0,0,0,0,Churned,F
K101000,yes,Male,41,Play 100,1,SOP20,0,25,0,0,5,0,F,F,F,F,0,0,0,0,Churned,F
K101010,yes,Male,28,Play 100,8,SOP10,72,25,18,11,5,1,T,T,F,T,7,20,0,37,Active,T
K101020,yes,Male,35,Play 100,0,SOP20,49,25,12,14,5,1,F,F,F,F,0,0,0,0,Churned,F
K101030,yes,Male,35,Play 100,9,SOP10,48,25,12,54,5,3,F,T,T,T,0,17,28,40,Churned,F
K101040,yes,Male,30,Play 100,0,SOP20,21,25,5,44,5,2,F,T,T,F,0,19,29,0,Churned,F
K101050,yes,Male,38,Play 100,2,SOP10,0,25,0,0,5,0,T,T,T,F,9,18,29,0,Churned,F
K101060,yes,Male,50,Play 100,2,SOP10,10,25,2,74,5,4,T,T,F,F,9,22,0,0,Churned,F
K101070,yes,Male,50,Play 100,1,SOP10,30,25,8,40,5,2,F,F,F,F,0,0,0,0,Churned,F
K101080,yes,Male,36,Play 100,5,SOP20,0,25,0,85,5,4,F,F,F,F,0,0,0,0,Churned,F
K101090,yes,Male,37,Play 100,5,SOP20,76,25,19,59,5,3,F,F,F,F,0,0,0,0,Churned,F
K101100,yes,Male,49,Play 100,8,SOP20,37,25,9,75,5,4,F,T,T,T,0,17,35,36,Churned,F
K101110,yes,Male,38,Play 100,0,SOP10,23,25,6,36,5,2,F,F,F,F,0,0,0,0,Churned,F
K101120,yes,Male,43,Play 100,2,SOP20,22,25,6,79,5,4,F,F,F,F,0,0,0,0,Churned,F
K101130,yes,Male,28,Play 100,4,SOP20,73,25,18,33,5,2,F,F,F,F,0,0,0,0,Churned,F
K101140,yes,Male,28,Play 100,0,SOP10,0,25,0,2,5,0,F,F,F,F,0,0,0,0,Churned,F
K101150,yes,Male,30,Play 100,8,SOP20,29,25,7,60,5,3,F,T,T,T,0,21,33,38,Churned,F
K101160,yes,Male,32,Play 100,0,SOP20,25,25,6,25,5,1,F,F,F,F,0,0,0,0,Churned,F
K101170,yes,Male,29,Play 100,1,SOP10,41,25,10,34,5,2,T,F,F,F,14,0,0,0,Churned,F
K101180,yes,Male,37,Play 100,1,SOP10,47,25,12,47,5,2,T,T,T,T,10,18,32,39,Churned,F
K101190,yes,Male,27,Play 100,2,SOP10,21,25,5,33,5,2,F,F,F,F,0,0,0,0,Churned,F
K101200,yes,Male,28,Play 100,0,SOP10,23,25,6,31,5,2,F,T,T,T,0,21,33,40,Churned,F
K101210,yes,Male,37,Play 100,0,SOP20,37,25,9,0,5,0,F,T,F,F,0,16,0,0,Churned,F
K101220,yes,Male,32,Play 100,9,SOP10,39,25,10,61,5,3,F,F,F,F,0,0,0,0,Churned,F
K101230,yes,Male,44,Play 100,0,SOP10,48,25,12,42,5,2,T,F,F,T,9,0,0,41,Churned,F
K101240,yes,Male,26,Play 100,2,SOP20,61,25,15,33,5,2,F,F,F,F,0,0,0,0,Churned,F
K101250,yes,Male,44,Play 100,2,SOP20,17,25,4,32,5,2,F,F,F,F,0,0,0,0,Churned,F
K101260,yes,Male,32,Play 100,9,SOP20,53,25,13,95,5,5,F,F,T,F,0,0,32,0,Churned,F
K101270,yes,Male,49,Play 100,0,SOP20,5,25,1,149,5,7,T,F,T,T,12,0,26,37,Churned,F
K101280,yes,Male,30,Play 100,6,SOP10,46,25,12,50,5,3,F,T,F,F,0,20,0,0,Churned,F
K101290,yes,Male,27,Play 100,6,SOP20,61,25,15,42,5,2,F,F,F,F,0,0,0,0,Churned,F
K101300,yes,Male,38,Play 100,1,SOP10,33,25,8,20,5,1,F,F,F,F,0,0,0,0,Churned,F
K101310,yes,Male,41,Play 100,2,SOP10,0,25,0,0,5,0,F,F,F,F,0,0,0,0,Churned,F
K101320,yes,Male,34,Play 100,0,SOP20,0,25,0,38,5,2,F,F,F,F,0,0,0,0,Churned,F
K101330,yes,Male,44,Play 100,1,SOP10,23,25,6,19,5,1,F,F,F,F,0,0,0,0,Churned,F
K101340,yes,Male,41,Play 100,2,SOP20,3,25,1,80,5,4,F,T,T,T,0,19,30,36,Churned,F
K101350,yes,Male,33,Play 100,1,SOP20,36,25,9,18,5,1,F,F,F,F,0,0,0,0,Churned,F
K101360,yes,Male,36,Play 100,2,SOP10,76,25,19,59,5,3,T,T,T,T,12,21,29,39,Churned,F
K101370,yes,Male,40,Play 100,0,SOP10,0,25,0,42,5,2,F,F,F,F,0,0,0,0,Churned,F
K101380,yes,Male,47,Play 100,2,SOP20,41,25,10,34,5,2,T,T,T,F,11,21,27,0,Churned,F
K101390,yes,Male,43,Play 100,5,SOP10,61,25,15,65,5,3,F,F,F,F,0,0,0,0,Churned,F
K101400,yes,Male,26,Play 100,1,SOP10,43,25,11,37,5,2,F,F,F,F,0,0,0,0,Churned,F
K101410,yes,Male,26,Play 100,1,SOP10,73,25,18,33,5,2,F,F,F,F,0,0,0,0,Churned,F
K101420,yes,Male,33,Play 100,3,SOP10,38,25,9,65,5,3,F,F,F,F,0,0,0,0,Churned,F
K101430,yes,Male,47,Play 100,2,SOP10,17,25,4,69,5,3,F,F,F,F,0,0,0,0,Churned,F
K101440,yes,Male,37,Play 100,0,SOP10,16,25,4,111,5,6,F,F,F,T,0,0,0,40,Churned,F
K101450,yes,Male,38,Play 100,9,SOP10,61,25,15,42,5,2,T,F,T,T,8,0,30,38,Churned,F
K101460,yes,Male,29,Play 100,9,SOP20,72,25,18,23,5,1,F,F,F,F,0,0,0,0,Churned,F
K101470,yes,Male,30,Play 100,3,SOP20,44,25,11,46,5,2,F,F,F,F,0,0,0,0,Churned,F
K101480,yes,Male,26,Play 100,2,SOP10,77,25,19,59,5,3,F,F,F,F,0,0,0,0,Churned,F
K101490,yes,Male,27,Play 100,2,SOP10,15,25,4,22,5,1,T,T,F,F,12,21,0,0,Churned,F
K101500,yes,Male,26,Play 100,1,SOP20,42,25,11,65,5,3,F,F,F,F,0,0,0,0,Churned,F
K101510,yes,Male,34,Play 100,10,SOP10,48,25,12,40,5,2,F,F,F,F,0,0,0,0,Churned,F
K101520,yes,Male,45,Play 100,1,SOP10,47,25,12,70,5,3,F,F,F,F,0,0,0,0,Churned,F
K101530,yes,Male,37,Play 100,2,SOP20,38,25,10,20,5,1,F,T,T,T,0,20,24,43,Churned,F
K101540,yes,Male,29,Play 100,0,SOP10,38,25,9,121,5,6,F,F,F,F,0,0,0,0,Churned,F
K101550,yes,Male,30,Play 100,0,SOP10,17,25,4,9,5,0,F,F,F,F,0,0,0,0,Churned,F
K101560,yes,Male,44,Play 100,0,SOP20,0,25,0,125,5,6,F,F,F,F,0,0,0,0,Churned,F
K101570,yes,Male,26,Play 100,2,SOP10,0,25,0,28,5,1,F,F,F,F,0,0,0,0,Churned,F
K101580,yes,Male,25,Play 100,1,SOP10,65,25,16,45,5,2,F,F,F,F,0,0,0,0,Churned,F
K101590,yes,Male,39,Play 100,2,SOP20,22,25,6,79,5,4,F,F,F,T,0,0,0,36,Churned,F
K101600,yes,Male,25,Play 100,3,SOP20,50,25,12,102,5,5,F,F,F,F,0,0,0,0,Churned,F
K101610,yes,Male,50,Play 100,1,SOP20,83,25,21,66,5,3,F,F,F,F,0,0,0,0,Churned,F
K101620,yes,Male,28,Play 100,1,SOP10,0,25,0,68,5,3,F,F,F,T,0,0,0,36,Churned,F
K101630,yes,Male,33,Play 100,1,SOP20,53,25,13,95,5,5,F,F,F,F,0,0,0,0,Churned,F
K101640,yes,Male,31,Play 100,1,SOP10,44,25,11,76,5,4,F,F,F,F,0,0,0,0,Churned,F
K101650,yes,Male,25,Play 100,0,SOP20,44,25,11,76,5,4,F,F,F,F,0,0,0,0,Churned,F
K101660,yes,Male,31,Play 100,2,SOP10,40,25,10,57,5,3,F,T,T,T,0,24,27,38,Churned,F
K101670,yes,Male,25,Play 100,0,SOP20,38,25,10,46,5,2,T,F,T,F,6,0,30,0,Churned,F
K101680,yes,Male,25,Play 100,0,SOP10,43,25,11,65,5,3,T,F,F,T,11,0,0,38,Churned,F
K101690,yes,Male,33,Play 100,1,SOP20,37,25,9,48,5,2,F,F,F,F,0,0,0,0,Churned,F
K101700,yes,Male,28,Play 100,9,SOP10,36,25,9,29,5,1,F,F,F,F,0,0,0,0,Churned,F
K101710,yes,Male,30,Play 100,11,SOP10,41,25,10,63,5,3,F,F,F,F,0,0,0,0,Churned,F
K101720,yes,Male,36,Play 100,2,SOP20,39,25,10,71,5,4,F,T,T,T,0,19,31,33,Churned,F
K101730,yes,Male,45,Play 100,2,SOP10,40,25,10,48,5,2,F,F,F,F,0,0,0,0,Churned,F
K101740,yes,Male,35,Play 100,2,SOP20,20,25,5,12,5,1,F,F,F,F,0,0,0,0,Churned,F
K101750,yes,Male,44,Play 100,2,SOP20,41,25,10,86,5,4,F,T,F,F,0,16,0,0,Churned,F
K101760,yes,Male,28,Play 100,7,SOP20,59,25,15,68,5,3,F,F,F,F,0,0,0,0,Churned,F
K101770,yes,Male,30,Play 100,0,SOP20,68,25,17,31,5,2,F,F,F,F,0,0,0,0,Churned,F
K101780,yes,Male,33,Play 100,0,SOP20,52,25,13,90,5,5,F,F,F,F,0,0,0,0,Churned,F
K101790,yes,Male,30,Play 100,1,SOP10,64,25,16,47,5,2,F,F,T,F,0,0,29,0,Churned,F
K101800,yes,Male,40,Play 100,2,SOP10,25,25,6,40,5,2,T,T,T,F,7,21,29,0,Churned,F
K101810,yes,Male,44,Play 100,1,SOP20,38,25,10,46,5,2,F,F,F,F,0,0,0,0,Churned,F
K101820,yes,Male,26,Play 100,0,SOP20,50,25,12,14,5,1,F,F,F,F,0,0,0,0,Churned,F
K101830,yes,Male,37,Play 100,1,SOP20,36,25,9,88,5,4,F,F,F,F,0,0,0,0,Churned,F
K101840,yes,Male,30,Play 100,1,SOP10,17,25,4,80,5,4,T,T,T,F,5,19,28,0,Churned,F
K101850,yes,Male,29,Play 100,1,SOP20,46,25,12,24,5,1,F,F,F,F,0,0,0,0,Churned,F
K101860,yes,Male,28,Play 100,0,SOP10,20,25,5,18,5,1,F,F,F,F,0,0,0,0,Churned,F
K101870,yes,Male,31,Play 100,2,SOP20,7,25,2,60,5,3,F,F,F,F,0,0,0,0,Active,T
K101880,yes,Male,45,Play 100,2,SOP10,21,25,5,19,5,1,F,F,F,F,0,0,0,0,Churned,F
K101890,yes,Male,33,Play 100,1,SOP20,58,25,14,22,5,1,F,F,F,F,0,0,0,0,Churned,F
K101900,yes,Male,39,Play 100,0,SOP10,72,25,18,94,5,5,F,F,F,F,0,0,0,0,Churned,F
K101910,yes,Male,25,Play 100,0,SOP10,68,25,17,47,5,2,F,F,T,F,0,0,30,0,Churned,F
K101920,yes,Male,29,Play 100,0,SOP10,52,25,13,80,5,4,T,T,F,T,7,19,0,38,Churned,F
K101930,yes,Male,25,Play 100,1,SOP10,52,25,13,82,5,4,F,F,T,F,0,0,33,0,Churned,F
K101940,yes,Male,33,Play 100,0,SOP10,21,25,5,22,5,1,F,F,F,F,0,0,0,0,Churned,F
K101950,yes,Male,34,Play 100,1,SOP20,43,25,11,62,5,3,F,F,F,F,0,0,0,0,Churned,F
K101960,yes,Male,39,Play 100,2,SOP10,28,25,7,129,5,6,F,F,F,F,0,0,0,0,Churned,F
K101970,yes,Male,33,Play 100,2,SOP20,45,25,11,67,5,3,F,F,F,F,0,0,0,0,Churned,F
K101980,yes,Male,28,Play 100,1,SOP10,42,25,11,19,5,1,F,F,F,F,0,0,0,0,Churned,F
K101990,yes,Male,41,Play 100,0,SOP20,31,25,8,40,5,2,F,F,F,F,0,0,0,0,Churned,F
K102000,yes,Male,32,Play 100,6,SOP10,41,25,10,34,5,2,F,F,F,F,0,0,0,0,Churned,F
K102010,yes,Male,32,Play 100,2,SOP10,57,25,14,56,5,3,F,T,T,F,0,16,31,0,Churned,F
K102020,yes,Male,38,Play 100,6,SOP20,52,25,13,79,5,4,F,F,F,F,0,0,0,0,Churned,F
K102030,yes,Male,37,Play 100,7,SOP20,19,25,5,17,5,1,F,F,F,F,0,0,0,0,Churned,F
K102040,yes,Male,26,Play 100,2,SOP20,49,25,12,71,5,4,F,T,T,T,0,19,29,47,Churned,F
K102050,yes,Male,36,Play 100,1,SOP10,71,25,18,54,5,3,T,T,T,F,13,18,27,0,Churned,F
K102060,yes,Female,55,CAT 50,1,SOP20,44,15,7,19,5,1,F,F,F,F,0,0,0,0,Churned,F
K102070,yes,Female,68,CAT 50,1,SOP10,76,15,11,38,5,2,F,F,F,F,0,0,0,0,Churned,F
K102080,yes,Male,57,CAT 50,0,SOP10,56,15,8,34,5,2,F,F,F,F,0,0,0,0,Churned,F
K102090,yes,Male,59,CAT 50,0,SOP10,49,15,7,15,5,1,T,T,T,F,11,19,29,0,Churned,F
K102100,yes,Female,,CAT 50,2,SOP20,47,15,7,30,5,1,F,F,F,F,0,0,0,0,Churned,F
K102110,yes,Female,58,CAT 50,1,SOP10,85,15,13,28,5,1,F,F,F,F,0,0,0,0,Churned,F
K102120,yes,Male,75,CAT 50,10,SOP10,34,15,5,19,5,1,F,F,F,F,0,0,0,0,Churned,F
K102130,yes,Male,56,CAT 50,2,SOP20,62,15,9,22,5,1,F,T,T,T,0,19,28,41,Churned,F
K102140,yes,Female,63,CAT 50,0,SOP20,42,15,6,14,5,1,T,F,F,F,9,0,0,0,Churned,F
K102150,yes,Male,70,CAT 50,2,SOP10,37,15,6,20,5,1,T,T,T,F,11,17,28,0,Churned,F
K102160,yes,Female,51,CAT 50,1,SOP10,41,15,6,21,5,1,F,T,F,F,0,20,0,0,Churned,F
K102170,yes,Male,64,CAT 50,11,SOP20,112,15,17,0,5,0,F,F,F,F,0,0,0,0,Churned,F
K102180,yes,Female,55,CAT 50,0,SOP10,36,15,5,19,5,1,T,T,F,T,9,22,0,41,Churned,F
K102190,yes,Male,54,CAT 50,2,SOP20,53,15,8,39,5,2,F,F,F,F,0,0,0,0,Churned,F
K102200,yes,Male,51,CAT 50,6,SOP10,69,15,10,19,5,1,F,T,T,T,0,19,28,43,Churned,F
K102210,yes,Female,55,CAT 50,5,SOP20,113,15,17,30,5,2,F,F,F,F,0,0,0,0,Churned,F
K102220,yes,Male,61,CAT 50,2,SOP20,69,15,10,0,5,0,T,F,T,T,8,0,29,41,Churned,F
K102230,yes,Male,58,CAT 50,1,SOP10,116,15,17,29,5,1,F,F,F,T,0,0,0,39,Churned,F
K102240,yes,Female,67,CAT 50,1,SOP10,65,15,10,7,5,0,T,F,T,F,6,0,27,0,Churned,F
K102250,yes,Male,55,CAT 50,0,SOP20,70,15,10,24,5,1,F,F,F,F,0,0,0,0,Churned,F
K102260,yes,Female,58,CAT 50,0,SOP20,66,15,10,30,5,1,F,F,F,F,0,0,0,0,Churned,F
K102270,yes,Male,54,CAT 50,0,SOP20,116,15,17,19,5,1,T,F,F,F,9,0,0,0,Churned,F
K102280,yes,Female,56,Play 100,2,SOP10,46,25,12,50,5,3,F,T,T,T,0,21,28,38,Churned,F
K102290,yes,Male,64,Play 100,8,SOP20,0,25,0,42,5,2,F,F,F,F,0,0,0,0,Churned,F
K102300,yes,Male,54,Play 100,1,SOP10,41,25,10,68,5,3,F,F,F,F,0,0,0,0,Churned,F
K102310,yes,Female,55,Play 100,1,SOP10,49,25,12,0,5,0,F,F,F,F,0,0,0,0,Churned,F
K102320,yes,Female,57,Play 100,8,SOP10,47,25,12,47,5,2,F,F,F,F,0,0,0,0,Churned,F
K102330,yes,Female,58,Play 100,9,SOP20,27,25,7,27,5,1,T,T,F,T,10,20,0,39,Churned,F
K102340,yes,Female,54,Play 100,7,SOP20,44,25,11,87,5,4,F,T,T,T,0,21,33,37,Churned,F
