employee_id,gender,age,region,educational_level,job_category,months_previous_experience,current_salary
PID 192,Male,45,East,2,Clerical,180,19650
PID 193,Female,28,North,3,Clerical,41,24750
PID 194,Female,56,West,4,Clerical,231,27150
PID 195,Female,38,East,2,Clerical,36,26400
PID 196,Female,48,West,5,Clerical,214,23100
PID 197,Male,32,North,4,Manager,49,54900
PID 198,Male,42,South,5,Manager,156,70875
PID 199,Male,36,West,5,Manager,69,51250
PID 200,Male,31,South,4,Manager,9,67500
PID 201,Male,39,South,2,Clerical,150,29340
PID 202,Male,31,North,4,Clerical,47,39600
PID 203,Male,30,North,3,Clerical,50,29100
PID 204,Male,34,South,5,Clerical,69,33150
PID 205,Male,50,North,5,Manager,258,66750
PID 206,Male,51,West,3,Custodial,284,33750
PID 207,Male,35,North,5,Clerical,91,27300
PID 208,Female,25,West,3,Clerical,16,24000
PID 209,Female,60,East,1,Clerical,75,19800
PID 210,Male,45,East,5,Clerical,216,30600
PID 211,Male,43,West,4,Clerical,108,28950
PID 212,Male,29,North,5,Clerical,64,38400
PID 213,Male,49,East,1,Custodial,302,30750
PID 214,Female,26,South,3,Clerical,9,20400
PID 215,Female,26,West,3,Clerical,7,19200
PID 216,Male,30,East,4,Clerical,72,30150
PID 217,Male,45,East,5,Clerical,149,34620
PID 218,Male,30,North,4,Clerical,34,80000
PID 219,Male,31,West,3,Clerical,32,25350
PID 220,Male,31,North,2,Clerical,85,29850
PID 221,Female,47,East,3,Clerical,97,24000
PID 222,Female,59,East,5,Clerical,265,27750
PID 223,Female,52,North,1,Clerical,48,22350
PID 224,Female,59,North,3,Clerical,0,16200
PID 225,Female,27,South,4,Clerical,0,21900
PID 226,Female,30,South,5,Clerical,4,23250
PID 227,Female,29,South,3,Clerical,11,33900
PID 228,Female,31,West,5,Clerical,51,25650
PID 229,Female,,West,,Clerical,,
PID 230,Male,60,North,5,Clerical,371,22500
PID 231,Male,29,East,5,Manager,3,40200
PID 232,Male,31,North,4,Manager,62,55500
PID 233,Male,31,East,5,Clerical,52,26550
PID 234,Male,33,East,5,Clerical,44,50550
PID 235,Male,32,West,4,Manager,13,75000
PID 236,Female,25,East,1,Clerical,9,27450
PID 237,Female,25,North,3,Clerical,0,22650
PID 238,Female,25,West,3,Clerical,5,27300
PID 239,Female,25,South,3,Clerical,5,27750
PID 240,Female,33,East,5,Manager,81,54375
PID 241,Female,58,North,1,Clerical,390,17400
PID 242,Female,26,East,3,Clerical,4,40800
PID 243,Female,25,West,3,Clerical,0,23100
PID 244,Female,25,North,1,Clerical,5,22500
PID 245,Female,25,North,3,Clerical,18,26700
PID 246,Female,26,North,2,Clerical,0,24900
PID 247,Female,26,West,3,Clerical,11,19650
PID 248,Female,25,East,3,Clerical,9,22050
PID 249,Female,25,West,2,Clerical,11,25500
PID 250,Female,28,West,4,Clerical,19,28200
PID 251,Female,25,West,3,Clerical,13,23100
PID 252,Male,25,East,3,Clerical,9,25500
PID 253,Female,52,North,1,Clerical,0,17100
PID 254,Male,30,West,5,Manager,29,68125
PID 255,Male,62,North,3,Custodial,460,30600
PID 256,Male,46,North,4,Manager,221,52125
PID 257,Male,43,North,4,Manager,199,61875
PID 258,Male,25,East,1,Clerical,24,21300
PID 259,Female,25,West,3,Clerical,5,19650
PID 260,Female,25,East,2,Clerical,5,22350
PID 261,Female,25,North,3,Clerical,18,23400
PID 262,Female,26,South,3,Clerical,8,24300
PID 263,Female,26,East,3,Clerical,4,28500
PID 264,Female,25,South,3,Clerical,8,19950
PID 265,Female,25,East,3,Clerical,0,23400
PID 266,Female,31,East,5,Clerical,3,34500
PID 267,Female,25,North,3,Clerical,0,18150
PID 268,Male,58,East,3,Clerical,272,22350
PID 269,Male,28,North,4,Clerical,38,40200
PID 270,Male,47,North,4,Clerical,261,28650
PID 271,Male,31,North,4,Clerical,55,27750
PID 272,Male,30,North,4,Clerical,30,66875
PID 273,Male,54,East,3,Custodial,308,
PID 274,Male,30,South,5,Manager,12,83750
PID 275,Male,31,West,3,Clerical,94,33900
PID 276,Male,29,North,5,Manager,12,56500
PID 277,Female,29,South,4,Manager,,43000
PID 278,Female,51,West,1,Clerical,70,20850
PID 279,Female,25,East,3,Clerical,8,24450
PID 280,Female,25,North,3,Clerical,5,24750
PID 281,Male,49,West,1,Custodial,246,34500
PID 282,Male,31,East,3,Clerical,47,27900
PID 283,Male,31,South,4,Manager,35,68125
PID 284,Male,33,South,4,Manager,45,73500
PID 285,Male,64,West,1,Custodial,429,30750
PID 286,Male,36,South,4,Manager,133,40050
PID 287,Male,29,West,5,Clerical,20,40350
PID 288,Male,39,East,5,Manager,176,28700
PID 289,Male,30,West,4,Manager,26,65000
PID 290,Male,40,East,4,Manager,149,51450
PID 291,Male,60,West,2,Custodial,387,35250
PID 292,Male,31,South,3,Clerical,53,25950
PID 293,Male,29,North,4,Clerical,24,25050
PID 294,Male,26,North,2,Clerical,25,26700
PID 295,Male,62,South,1,Clerical,476,24000
PID 296,Male,30,East,3,Clerical,48,26850
PID 297,Female,52,North,3,Clerical,209,23400
PID 298,Female,28,South,3,Clerical,47,24600
PID 299,Female,29,North,5,Clerical,6,32550
PID 300,Male,34,West,4,Clerical,105,26550
PID 301,Male,26,South,2,Clerical,7,31500
PID 302,Male,55,West,1,Clerical,320,22350
PID 303,Male,56,North,3,Custodial,281,35250
PID 304,Female,49,South,5,Clerical,51,25800
PID 305,Male,53,North,2,Custodial,317,30750
PID 306,Male,28,South,4,Clerical,41,30750
PID 307,Male,49,West,4,Manager,264,50000
PID 308,Male,31,North,5,Clerical,63,34500
PID 309,Male,30,North,5,Clerical,38,26250
PID 310,Male,30,North,4,Clerical,22,44875
PID 311,Female,43,East,3,Clerical,63,22500
PID 312,Female,31,North,2,Clerical,64,25650
PID 313,Female,25,West,3,Clerical,0,21300
PID 314,Female,27,North,2,Clerical,38,
PID 315,Female,25,South,3,Clerical,4,34500
PID 316,Male,34,South,5,Clerical,52,27750
PID 317,Male,25,South,3,Clerical,12,27750
PID 318,Male,33,East,5,Manager,61,48750
PID 319,Male,28,South,5,Clerical,12,43410
PID 320,Male,57,South,3,Clerical,385,22050
PID 321,Female,41,North,3,Clerical,6,22050
PID 322,Female,56,South,2,Clerical,90,22500
PID 323,Female,,North,5,Clerical,7,25500
PID 324,Female,28,North,3,Clerical,22,29160
PID 325,Female,59,South,1,Clerical,76,16800
PID 326,Male,36,East,1,Custodial,144,29550
PID 327,Male,29,North,3,Clerical,18,26700
PID 328,Male,42,North,4,Manager,125,55000
PID 329,Male,36,East,5,Manager,74,62500
PID 330,Male,35,West,4,Clerical,132,27300
PID 331,Female,52,East,3,Clerical,144,24450
PID 332,Female,30,East,5,Clerical,26,33000
PID 333,Female,29,North,4,Clerical,5,37050
PID 334,Female,28,East,3,Clerical,32,24450
PID 335,Male,64,North,1,Custodial,408,31950
PID 336,Male,30,West,4,Manager,45,47250
PID 337,Female,24,North,3,Clerical,2,26100
PID 338,Female,56,North,1,Clerical,43,15900
PID 339,Female,51,North,1,Clerical,281,23700
PID 340,Female,60,South,1,Clerical,318,21750
PID 341,Male,49,East,3,Manager,272,59400
PID 342,Female,46,South,3,Clerical,117,24450
PID 343,Male,41,South,5,Manager,150,103500
PID 344,Male,31,West,3,Clerical,72,35700
PID 345,Female,25,South,3,Clerical,7,22200
PID 346,Female,26,North,4,Clerical,22,22950
PID 347,Female,50,West,2,Clerical,228,23100
PID 348,Female,32,North,5,Manager,15,56750
PID 349,Female,56,East,4,Clerical,375,29100
PID 350,Female,55,South,3,Clerical,132,37650
PID 351,Female,28,North,3,Clerical,32,27900
PID 352,Female,60,North,1,Clerical,159,21150
PID 353,Male,39,East,3,Custodial,155,31200
PID 354,Female,48,South,3,Clerical,154,20550
PID 355,Male,33,North,4,Clerical,83,25950
PID 356,Male,28,West,5,Clerical,48,28350
PID 357,Female,62,South,1,Clerical,184,17700
PID 358,Female,50,North,4,Clerical,49,23550
PID 359,Female,53,East,3,Clerical,56,19950
PID 360,Female,26,North,3,Clerical,30,29400
PID 361,Female,28,West,3,Clerical,18,28800
PID 362,Female,57,West,1,Clerical,319,16950
PID 363,Male,40,South,5,Clerical,138,35700
PID 364,Female,47,South,2,Clerical,116,17400
PID 365,Female,46,West,1,Clerical,194,21450
PID 366,Female,33,North,3,Clerical,68,24750
PID 367,Female,52,East,3,Clerical,271,16950
PID 368,Female,51,South,3,Clerical,169,26100
PID 369,Male,26,South,3,Clerical,15,28050
PID 370,Female,31,North,4,Clerical,12,36600
PID 371,Female,28,North,4,Manager,11,58125
PID 372,Male,59,North,5,Clerical,372,21300
PID 373,Male,45,South,3,Clerical,216,22500
PID 374,Male,27,North,4,Clerical,15,29400
PID 375,Male,28,South,3,Clerical,41,27450
PID 376,Male,30,North,5,Clerical,48,29850
PID 377,Male,28,South,4,Clerical,56,25350
PID 378,Female,64,North,1,Clerical,275,15750
PID 379,Female,56,North,1,Clerical,102,19650
PID 380,Female,53,East,3,Clerical,82,21000
PID 381,Male,48,South,4,Clerical,192,27000
PID 382,Male,35,East,3,Clerical,120,24000
PID 383,Male,33,North,5,Manager,67,78500
PID 384,Female,38,East,3,Clerical,127,20850
PID 385,Male,64,East,3,Custodial,348,30000
PID 386,Male,60,South,1,Custodial,174,28500
PID 387,Male,29,North,4,Manager,74,65000
PID 388,Male,35,South,2,Clerical,110,30150
PID 389,Male,35,East,5,Manager,81,66875
PID 390,Female,25,West,4,Clerical,7,24150
PID 391,Female,25,East,3,Clerical,12,24450
PID 392,Female,24,West,3,Clerical,0,21600
PID 393,Female,25,West,3,Clerical,0,27900
PID 394,Female,24,East,1,Clerical,17,29100
PID 395,Female,24,North,3,Clerical,2,22650
PID 396,Female,24,West,2,Clerical,0,20850
PID 397,Female,24,East,3,Clerical,5,22950
PID 398,Female,23,South,2,Clerical,5,
PID 399,Female,24,North,3,Clerical,0,20400
PID 400,Female,25,West,3,Clerical,20,23850
PID 401,Female,24,South,2,Clerical,0,22800
PID 402,Female,24,North,3,Clerical,2,20700
PID 403,Female,24,East,3,Clerical,3,21300
PID 404,Female,41,North,3,Clerical,121,24300
PID 405,Female,50,West,2,Clerical,133,19650
PID 406,Male,29,West,5,Manager,17,60000
PID 407,Male,29,South,4,Clerical,55,30300
PID 408,Male,30,East,5,Manager,9,61250
PID 409,Male,31,South,5,Clerical,21,36000
PID 410,Female,52,East,1,Clerical,344,25200
PID 411,Female,63,South,2,Clerical,180,16200
PID 412,Female,24,West,2,Clerical,2,22800
PID 413,Female,28,East,4,Manager,11,43500
PID 414,Male,33,West,1,Custodial,155,30300
PID 415,Male,31,West,4,Clerical,70,31950
PID 416,Male,29,West,5,Clerical,6,35250
PID 417,Male,27,East,4,Clerical,36,37800
PID 418,Male,29,South,5,Clerical,46,31200
PID 419,Male,30,South,4,Clerical,68,29400
PID 420,Male,37,West,5,Manager,75,70000
PID 421,Male,32,North,4,Clerical,96,
PID 422,Male,31,South,4,Clerical,78,27150
PID 423,Female,58,East,3,Clerical,196,22200
PID 424,Female,28,South,5,Clerical,47,31350
PID 425,Female,52,North,3,Clerical,181,20850
PID 426,Male,42,East,4,Clerical,120,33300
PID 427,Male,52,East,1,Clerical,97,26250
PID 428,Male,30,East,4,Clerical,58,31950
PID 429,Male,48,North,1,Custodial,305,30000
PID 430,Male,38,East,4,Manager,99,66250
PID 431,Male,35,East,5,Manager,50,86250
PID 432,Male,30,West,2,Clerical,56,30750
PID 433,Male,27,West,2,Clerical,47,33540
PID 434,Male,,North,4,Clerical,55,34950
PID 435,Male,30,North,4,Clerical,80,40350
PID 436,Male,29,North,2,Clerical,80,30270
PID 437,Male,61,West,1,Clerical,264,26250
PID 438,Male,30,South,4,Clerical,64,32400
PID 439,Female,24,East,3,Clerical,0,20400
PID 440,Female,46,North,1,Clerical,96,24150
PID 441,Female,45,North,5,Clerical,122,23850
PID 442,Female,26,South,2,Clerical,26,29700
PID 443,Female,65,North,1,Clerical,228,21600
PID 444,Female,33,East,2,Clerical,,24450
PID 445,Male,31,West,4,Clerical,84,28050
PID 446,Male,36,East,4,Manager,128,100000
PID 447,Male,33,South,4,Clerical,86,49000
PID 448,Female,61,North,3,Clerical,163,16350
PID 449,Male,28,West,4,Manager,19,70000
PID 450,Male,40,South,5,Manager,129,55000
PID 451,Male,25,East,5,Clerical,20,28500
PID 452,Male,41,East,2,Clerical,210,28800
PID 453,Male,64,East,5,Clerical,338,24450
PID 454,Male,29,South,4,Manager,18,90625
PID 455,Male,30,East,4,Manager,19,43650
PID 456,Male,35,East,4,Manager,54,75000
PID 457,Male,26,North,4,Clerical,10,31650
PID 458,Male,29,North,4,Manager,26,61875
PID 459,Female,23,North,3,Clerical,0,21750
PID 460,Female,25,North,3,Clerical,24,22500
PID 461,Female,50,East,1,Clerical,173,21600
PID 462,Female,31,West,5,Manager,79,34410
PID 463,Female,60,South,5,Clerical,241,20700
PID 464,Male,32,South,4,Manager,27,47550
PID 465,Male,32,North,2,Clerical,106,33900
PID 466,Female,46,East,2,Clerical,198,23400
PID 467,Female,27,North,4,Clerical,20,32850
PID 468,Female,28,East,4,Manager,36,55750
PID 469,Female,30,South,4,Clerical,57,25200
PID 470,Male,30,West,3,Clerical,69,26250
PID 471,Male,28,South,4,Clerical,32,26400
PID 472,Male,28,North,4,Clerical,46,39150
PID 473,Female,56,East,3,Clerical,139,21450
PID 474,Female,25,North,2,Clerical,9,17000
